t PE VE R R2
334 0.953454 0.310558 -0.059808 0.279423
335 0.998849 0.354769 -0.172662 0.336879
336 1.04399 0.409197 -0.263183 0.412154
337 1.0767 0.462463 -0.324059 0.483702
338 1.0867 0.503236 -0.349712 0.532389
339 1.06841 0.524334 -0.336895 0.547539
340 1.02276 0.525724 -0.285135 0.530935
341 0.956961 0.51506 -0.196964 0.497204
342 0.882635 0.506623 -0.0778875 0.470029
343 0.812466 0.516495 0.0639501 0.474992
344 0.756513 0.558204 0.218386 0.531161
345 0.719212 0.637647 0.374074 0.644152
346 0.69799 0.750655 0.519411 0.803012
347 0.683964 0.881328 0.643439 0.981965
348 0.664556 1.00714 0.736662 1.14654
349 0.627344 1.1014 0.791732 1.26239
350 0.564039 1.14381 0.803983 1.30428
351 0.473449 1.12638 0.771794 1.2629
352 0.362541 1.05453 0.69677 1.14752
353 0.245197 0.944391 0.583697 0.98362
354 0.138909 0.819444 0.440201 0.806186
355 0.0603369 0.702072 0.276024 0.650335
356 0.0211645 0.609302 0.102009 0.542448
357 0.0256078 0.550097 -0.0710089 0.49452
358 0.0701705 0.524127 -0.233114 0.503082
359 0.145284 0.523532 -0.375838 0.552083
360 0.237944 0.536637 -0.492337 0.618059
361 0.334532 0.547569 -0.577365 0.675951
362 0.423317 0.542817 -0.627205 0.704499
363 0.496442 0.517641 -0.639662 0.690564
364 0.551208 0.47112 -0.614166 0.631939
365 0.590488 0.411146 -0.551941 0.538182
366 0.622052 0.349552 -0.456218 0.429079
367 0.656735 0.30117 -0.33239 0.330589
368 0.705625 0.277307 -0.188016 0.268612
369 0.776833 0.286424 -0.0325499 0.261813
370 0.872708 0.329736 0.123268 0.315591
371 0.988454 0.401598 0.268295 0.419469
372 1.11272 0.488831 0.391985 0.549196
373 1.23013 0.573044 0.485317 0.673134
374 1.3251 0.634987 0.541554 0.76098
375 1.38593 0.660964 0.556803 0.792236
376 1.40789 0.647015 0.530416 0.762011
377 1.3945 0.599964 0.465137 0.682298
378 1.35619 0.535981 0.366904 0.578028
379 1.30685 0.473734 0.244166 0.479025
380 1.25937 0.431213 0.106755 0.410876
381 1.22214 0.41862 -0.0354121 0.388319
382 1.19753 0.437961 -0.173433 0.413229
383 1.18269 0.484079 -0.300015 0.476731
384 1.17152 0.547625 -0.409538 0.563285
385 1.15681 0.616358 -0.497768 0.65475
386 1.13174 0.677764 -0.561491 0.733536
387 1.09099 0.720217 -0.598294 0.784943
388 1.03139 0.735303 -0.60656 0.799074
389 0.952595 0.719731 -0.585642 0.77238
390 0.857455 0.676087 -0.536087 0.708549
391 0.751889 0.61227 -0.459856 0.618267
392 0.644118 0.537958 -0.360446 0.517533
393 0.543261 0.464836 -0.24288 0.424578
394 0.457564 0.404098 -0.113543 0.355887
395 0.392676 0.363202 0.0201783 0.322296
396 0.350479 0.345002 0.150401 0.326295
397 0.32882 0.347299 0.269351 0.361455
398 0.322268 0.362991 0.369957 0.414231
399 0.323675 0.382785 0.44636 0.467629
400 0.326093 0.397958 0.494293 0.505665
401 0.324503 0.40204 0.511328 0.517409
402 0.316887 0.392541 0.496999 0.4996
403 0.30439 0.372498 0.452818 0.457245
404 0.290547 0.34799 0.382199 0.402098
405 0.27988 0.32729 0.290284 0.349416
406 0.276345 0.317771 0.183672 0.313796
407 0.282124 0.323669 0.0700396 0.305166
408 0.297012 0.345553 -0.0423375 0.325994
409 0.31834 0.37974 -0.145147 0.37054
410 0.341389 0.419123 -0.230642 0.426458
411 0.360421 0.455116 -0.292239 0.478377
412 0.370344 0.480004 -0.325054 0.512499
413 0.368564 0.489647 -0.326352 0.520901
414 0.356271 0.485046 -0.295863 0.504195
415 0.338512 0.472527 -0.235917 0.471581
416 0.322854 0.461753 -0.151347 0.438081
417 0.316999 0.462572 -0.0491135 0.419691
418 0.326122 0.481812 0.0623566 0.428085
419 0.350931 0.520829 0.174061 0.466767
420 0.387242 0.575088 0.27741 0.530119
421 0.427301 0.635484 0.365118 0.605498
422 0.462271 0.691514 0.431789 0.677297
423 0.48482 0.732624 0.474126 0.731236
424 0.490801 0.752276 0.490819 0.757552
425 0.479705 0.747871 0.482311 0.752575
426 0.454171 0.721172 0.450582 0.718778
427 0.419013 0.677245 0.39895 0.663535
428 0.380003 0.622567 0.331785 0.596941
429 0.342613 0.564752 0.254103 0.529262
430 0.310905 0.509698 0.171054 0.468762
431 0.286856 0.461338 0.0874432 0.420474
432 0.270247 0.421493 0.00739192 0.38602
433 0.259102 0.390196 -0.0658106 0.364214
434 0.250472 0.366076 -0.129665 0.352003
435 0.241319 0.347006 -0.182297 0.345412
436 0.229291 0.33058 -0.222257 0.340333
437 0.213285 0.314806 -0.248354 0.33313
438 0.193787 0.298307 -0.2596 0.321095
439 0.172943 0.279956 -0.255255 0.302808
440 0.154306 0.259745 -0.234941 0.278412
441 0.142267 0.238616 -0.198754 0.249794
442 0.141304 0.218347 -0.147358 0.220589
443 0.155203 0.201658 -0.08207 0.195926
444 0.186343 0.191738 -0.00497795 0.181788
445 0.23512 0.191746 0.0809239 0.183893
446 0.299629 0.20394 0.171691 0.20614
447 0.375785 0.22898 0.262627 0.249066
448 0.4579 0.265172 0.348761 0.309088
449 0.539512 0.309062 0.425432 0.379078
