t PE VE R R2
419 -2.97712 0.864553 0.0698508 0.733305
420 -2.96914 0.646686 0.0642971 0.570403
421 -2.88047 0.467774 0.055906 0.427491
422 -2.71073 0.336085 0.0454115 0.314586
423 -2.46166 0.254546 0.0336669 0.239515
424 -2.1372 0.222885 0.0215926 0.207332
425 -1.74351 0.239116 0.0101206 0.219951
426 -1.28888 0.300186 0.000137442 0.276026
427 -0.7835 0.403575 -0.00756975 0.371078
428 -0.239199 0.547589 -0.0123608 0.497858
429 0.33096 0.727915 -0.0137818 0.646915
430 0.913089 0.934895 -0.0115927 0.807303
431 1.49294 1.15393 -0.0057825 0.967384
432 2.05636 1.36706 0.00342978 1.11565
433 2.58976 1.55522 0.0156074 1.24154
434 3.08051 1.70058 0.0301217 1.3361
435 3.51732 1.78872 0.0461893 1.39263
436 3.89053 1.81053 0.062919 1.40707
437 4.19238 1.76347 0.0793643 1.37828
438 4.41715 1.65187 0.0945807 1.30809
439 4.56129 1.48645 0.107682 1.20123
440 4.62338 1.28288 0.117893 1.06499
441 4.60416 1.0598 0.124598 0.908754
442 4.50631 0.836365 0.127377 0.743435
443 4.3343 0.629942 0.126032 0.5807
444 4.09415 0.454339 0.120599 0.432194
445 3.79308 0.319036 0.111351 0.308713
446 3.43922 0.228668 0.0987757 0.219416
447 3.0413 0.183341 0.0835567 0.17114
448 2.60831 0.182046 0.0665283 0.167858
449 2.14924 0.225525 0.0486293 0.210357
450 1.6729 0.316095 0.030849 0.296137
451 1.18771 0.454745 0.0141696 0.419576
452 0.70169 0.638807 -0.000490399 0.572324
453 0.222385 0.860422 -0.0123294 0.743922
454 -0.243091 1.1063 -0.0207089 0.922571
455 -0.687996 1.35874 -0.0251897 1.096
456 -1.10591 1.59732 -0.0255571 1.25236
457 -1.49065 1.80126 -0.0218321 1.38106
458 -1.83627 1.95196 -0.0142689 1.4735
459 -2.13706 2.03536 -0.00333903 1.52364
460 -2.38759 2.0437 0.0102977 1.52839
461 -2.58277 1.9765 0.0258334 1.48775
462 -2.71803 1.84055 0.0423604 1.40476
463 -2.78943 1.64905 0.0589257 1.28527
464 -2.79383 1.41986 0.0745883 1.13755
465 -2.7291 1.17331 0.0884747 0.971635
466 -2.59425 0.929678 0.099831 0.798767
467 -2.38963 0.706912 0.108068 0.630584
468 -2.11705 0.518658 0.112794 0.478384
469 -1.77991 0.373134 0.113839 0.352365
470 -1.38325 0.273399 0.111266 0.260939
471 -0.93379 0.21927 0.10536 0.210139
472 -0.439911 0.210385 0.0966185 0.20318
473 0.0884757 0.246467 0.0857122 0.240203
474 0.640087 0.327049 0.0734499 0.318228
475 1.20253 0.451067 0.0607263 0.431339
476 1.76262 0.614212 0.0484675 0.571089
477 2.3068 0.808134 0.0375743 0.727104
478 2.82157 1.0201 0.0288671 0.88785
479 3.29394 1.23349 0.0230348 1.04149
480 3.71194 1.42963 0.0205925 1.17678
481 4.06501 1.59019 0.0218485 1.28391
482 4.34441 1.69962 0.0268842 1.35523
483 4.5435 1.74723 0.0355474 1.38582
484 4.65796 1.72861 0.0474593 1.37378
485 4.68588 1.64615 0.0620356 1.32041
486 4.62776 1.50865 0.0785187 1.22997
487 4.48639 1.33011 0.0960219 1.1094
488 4.26669 1.12774 0.11358 0.967766
489 3.97546 0.919674 0.130205 0.815565
490 3.62106 0.722923 0.144945 0.664001
491 3.21309 0.551539 0.156937 0.524195
492 2.76205 0.415092 0.165461 0.406434
493 2.27899 0.319412 0.169976 0.319476
494 1.77514 0.268202 0.17016 0.269964
495 1.26166 0.263014 0.16592 0.261973
496 0.74928 0.305032 0.157404 0.296713
497 0.248076 0.395691 0.144988 0.372421
498 -0.232717 0.53515 0.129256 0.484428
499 -0.684863 0.719736 0.110965 0.625434
500 -1.10121 0.941186 0.0909995 0.785963
501 -1.47571 1.18598 0.0703228 0.954983
502 -1.80339 1.43613 0.0499176 1.12066
503 -2.08026 1.6709 0.0307302 1.27119
504 -2.30322 1.8692 0.0136152 1.39567
505 -2.46991 2.01217 -0.000713169 1.48488
506 -2.57862 2.08553 -0.0117226 1.53202
507 -2.62815 2.08142 -0.0190921 1.53323
508 -2.6178 1.9995 -0.0227292 1.48787
509 -2.54735 1.84705 -0.0227734 1.39862
510 -2.41709 1.63806 -0.0195857 1.2713
511 -2.22793 1.39148 -0.0137252 1.11436
512 -1.98151 1.12881 -0.00591341 0.938346
513 -1.68036 0.87149 0.00301096 0.755069
514 -1.32804 0.638424 0.012144 0.576777
515 -0.929226 0.443975 0.0205725 0.415286
516 -0.489814 0.296613 0.0274308 0.281179
517 -0.0169307 0.198787 0.0319541 0.183098
518 0.481106 0.148261 0.0335261 0.127199
519 0.994887 0.140762 0.0317178 0.116773
520 1.51407 0.173685 0.0263147 0.152068
521 2.02761 0.24787 0.0173314 0.230304
522 2.524 0.366239 0.00501251 0.345871
523 2.9916 0.528727 -0.0101807 0.490709
524 3.41896 0.729189 -0.0275962 0.654835
525 3.79518 0.955592 -0.0464288 0.826996
526 4.11027 1.19134 -0.0657671 0.995409
527 4.35552 1.41707 -0.0846471 1.14856
528 4.52381 1.61287 -0.102109 1.27598
529 4.60996 1.76079 -0.117252 1.36899
530 4.61096 1.84717 -0.129292 1.42137
531 4.52611 1.8643 -0.137605 1.42975
532 4.35717 1.81149 -0.141763 1.39398
533 4.10829 1.69494 -0.141565 1.31707
534 3.7859 1.52696 -0.137044 1.20508
535 3.39849 1.32418 -0.128471 1.0666
536 2.95631 1.10535 -0.116336 0.912161
537 2.47092 0.889117 -0.10132 0.753411
538 1.95481 0.691871 -0.0842614 0.602242
539 1.42091 0.526067 -0.0660999 0.469901
540 0.882138 0.40017 -0.0478273 0.366155
541 0.351 0.319867 -0.030429 0.298587
