r r 
0.450114 -0.11143 
-0.240341 -0.254551 
-0.0328889 -0.045234 
-0.152125 0.0254495 
0.131671 0.0842523 
-0.00320866 -0.193109 
-0.206351 -0.17026 
-0.115205 0.183777 
0.418792 0.339846 
0.45077 -0.108925 
-0.231022 -0.245209 
-0.0351003 -0.0474256 
-0.148828 0.0279907 
0.130132 0.0827897 
-0.00761934 -0.196744 
-0.209293 -0.17326 
-0.114314 0.183718 
0.421566 0.342746 
0.454977 -0.102879 
-0.221813 -0.235976 
-0.0378842 -0.0501879 
-0.146606 0.0294767 
0.129577 0.0823175 
-0.00984082 -0.198208 
-0.211161 -0.17519 
-0.115716 0.181368 
0.422496 0.343814 
0.462814 -0.0932108 
-0.212846 -0.226981 
-0.0429265 -0.0552071 
-0.145076 0.0302879 
0.128585 0.0814138 
-0.00976227 -0.197388 
-0.213367 -0.177465 
-0.119505 0.176632 
0.421239 0.342705 
0.469165 -0.0850388 
-0.20099 -0.215097 
-0.0483259 -0.0605819 
-0.143076 0.0315847 
0.129216 0.0821399 
-0.014818 -0.201716 
-0.212568 -0.176738 
-0.125886 0.169306 
0.419968 0.341592 
0.477437 -0.0749536 
-0.188648 -0.202725 
-0.0525221 -0.064752 
-0.142545 0.031428 
0.131948 0.084971 
-0.0172352 -0.20342 
-0.212848 -0.177094 
-0.134497 0.159753 
0.418936 0.340726 
0.487439 -0.0631468 
-0.177797 -0.191844 
-0.0586032 -0.070806 
-0.143148 0.0301515 
0.138117 0.0912444 
-0.0198333 -0.205317 
-0.210361 -0.174686 
-0.14431 0.148999 
0.413685 0.335648 
0.497351 -0.0514367 
-0.167739 -0.181753 
-0.0652932 -0.0774679 
-0.146648 0.02599 
0.142361 0.0955964 
-0.022616 -0.20741 
-0.208596 -0.173003 
-0.156628 0.135743 
0.408393 0.330537 
0.512268 -0.0347311 
-0.162665 -0.176645 
-0.0698079 -0.0819535 
-0.145548 0.0264397 
0.145545 0.0988922 
-0.0232704 -0.207385 
-0.210721 -0.175213 
-0.16403 0.127404 
0.402546 0.324875 
0.524022 -0.021195 
-0.157682 -0.171628 
-0.074026 -0.0861416 
-0.147342 0.0240066 
0.151009 0.104472 
-0.0238467 -0.207293 
-0.213782 -0.178361 
-0.166564 0.123937 
0.399666 0.322187 
0.534112 -0.00933006 
-0.152022 -0.165932 
-0.0767944 -0.0888794 
-0.149244 0.0214755 
0.159549 0.113129 
-0.0267522 -0.209538 
-0.217535 -0.182204 
-0.165978 0.123591 
0.401481 0.324199 
0.545806 0.00413179 
-0.146851 -0.160725 
-0.0783503 -0.0904039 
-0.15272 0.0173795 
0.168344 0.122045 
-0.0259094 -0.208044 
-0.222025 -0.186786 
-0.165034 0.123607 
0.401216 0.324134 
0.55579 0.0158766 
-0.139493 -0.15333 
-0.0794434 -0.091465 
-0.159921 0.00956592 
0.179965 0.133789 
-0.0272487 -0.208739 
-0.225388 -0.190242 
-0.166362 0.121352 
0.40448 0.327602 
0.565641 0.0274805 
-0.130918 -0.144718 
-0.0776622 -0.0896513 
-0.163196 0.00568712 
0.191962 0.14591 
-0.0287396 -0.209593 
-0.226157 -0.191107 
-0.168605 0.118185 
0.407257 0.330588 
0.576145 0.0397318 
-0.125109 -0.138871 
-0.0778187 -0.0897748 
-0.163522 0.00476369 
0.20058 0.154655 
-0.0292356 -0.209459 
-0.228906 -0.193952 
-0.16904 0.116829 
0.412367 0.335908 
0.583127 0.0484549 
-0.120559 -0.134283 
-0.0817913 -0.0937139 
-0.161384 0.0063117 
0.207174 0.161378 
-0.0285225 -0.208123 
-0.239808 -0.204952 
-0.169175 0.115775 
0.412711 0.336466 
0.588905 0.0559658 
-0.116005 -0.12969 
-0.0835823 -0.0954712 
-0.158566 0.00854578 
0.213938 0.168272 
-0.0305053 -0.209488 
-0.249789 -0.215031 
-0.170889 0.113145 
0.415685 0.339656 
0.596185 0.0649739 
-0.107177 -0.120822 
-0.0834024 -0.0952572 
-0.156704 0.00982983 
0.219302 0.173767 
-0.0303993 -0.20877 
-0.256038 -0.22138 
-0.171929 0.111191 
0.423007 0.347197 
0.598409 0.0689193 
-0.100018 -0.113624 
-0.083846 -0.0956664 
-0.156444 0.00951762 
0.224239 0.178836 
-0.0281027 -0.205866 
-0.26079 -0.226233 
-0.179559 0.10265 
0.429217 0.353626 
0.599582 0.0718075 
-0.0927371 -0.106303 
-0.0864864 -0.0982722 
-0.150989 0.0144047 
0.225366 0.180096 
-0.0281173 -0.205279 
-0.265444 -0.230989 
-0.188981 0.0923203 
0.43431 0.358941 
0.59991 0.0738441 
-0.0873276 -0.100854 
-0.0852413 -0.0969922 
-0.146425 0.018406 
0.223262 0.178125 
-0.0305159 -0.20708 
-0.270802 -0.236448 
-0.196283 0.0841127 
0.442598 0.367452 
0.603138 0.0787754 
-0.0839257 -0.0974114 
-0.0762982 -0.0880141 
-0.142926 0.0213465 
0.225407 0.180405 
-0.0313213 -0.207292 
-0.282137 -0.247886 
-0.204534 0.0749589 
0.451759 0.376837 
0.610166 0.0875002 
-0.082259 -0.0957042 
-0.068812 -0.0804927 
-0.136733 0.026986 
0.228454 0.183587 
-0.0299456 -0.205327 
-0.288207 -0.254058 
-0.2142 0.064393 
0.462255 0.387558 
0.613747 0.0927721 
-0.0773946 -0.0907992 
-0.061856 -0.0735014 
-0.129482 0.0336866 
0.232337 0.187605 
-0.0308557 -0.205652 
-0.292731 -0.258685 
-0.228184 0.0495121 
0.470655 0.396184 
0.614224 0.0949341 
-0.0762041 -0.0895679 
-0.056507 -0.068117 
-0.121462 0.0411603 
0.236398 0.191803 
-0.0327478 -0.206962 
-0.300675 -0.266733 
-0.236822 0.0399794 
0.479256 0.405011 
0.613875 0.0962639 
-0.0731607 -0.0864836 
-0.0531282 -0.0647027 
-0.114187 0.047893 
0.241146 0.196688 
-0.0334751 -0.207111 
-0.307668 -0.273829 
-0.24318 0.0327299 
0.486621 0.412603 
0.617136 0.101199 
-0.0686428 -0.0819247 
-0.0488946 -0.0604336 
-0.109771 0.0517699 
0.242393 0.19807 
-0.0322594 -0.205321 
-0.312937 -0.279203 
-0.250185 0.0248354 
0.490018 0.416227 
0.617131 0.102862 
-0.0653784 -0.0786194 
-0.0442772 -0.0557805 
-0.104313 0.0566917 
0.24339 0.199204 
-0.0287222 -0.201212 
-0.319441 -0.285811 
-0.258056 0.0160785 
0.493005 0.419442 
0.618067 0.10546 
-0.0599488 -0.0731487 
-0.04017 -0.0516377 
-0.0980091 0.0624623 
0.242317 0.198269 
-0.0258202 -0.197742 
-0.324105 -0.290579 
-0.264232 0.00901836 
0.496434 0.423099 
0.619314 0.108363 
-0.056484 -0.0696428 
-0.0325604 -0.0439924 
-0.0894649 0.0704766 
0.242537 0.198626 
-0.0197409 -0.191097 
-0.329076 -0.295654 
-0.271167 0.00120281 
0.501982 0.428875 
0.616106 0.106806 
-0.0504843 -0.0636021 
-0.0234233 -0.0348197 
-0.0819788 0.0774355 
0.24395 0.200175 
-0.010376 -0.181169 
-0.337852 -0.304535 
-0.2733 -0.00180829 
0.509482 0.436604 
0.611367 0.103713 
-0.046452 -0.0595287 
-0.0177488 -0.0291094 
-0.075917 0.0829728 
0.241316 0.197679 
-0.00157412 -0.171807 
-0.346664 -0.313451 
-0.274503 -0.00388639 
0.516984 0.444334 
0.607693 0.101679 
-0.0447795 -0.0578151 
-0.00859555 -0.0199205 
-0.0670034 0.0913646 
0.240422 0.196921 
0.00821425 -0.161461 
-0.35574 -0.322632 
-0.278519 -0.00877526 
0.524035 0.451612 
0.606227 0.101847 
-0.041819 -0.0548136 
0.00179606 -0.00949328 
-0.0641089 0.0937398 
0.241275 0.197912 
0.0179951 -0.151126 
-0.366687 -0.333682 
-0.28131 -0.0124361 
0.533699 0.461504 
0.608396 0.105646 
-0.0407417 -0.0536953 
0.011866 0.000612257 
-0.0655745 0.0917573 
0.24309 0.199863 
0.0242537 -0.144315 
-0.376928 -0.344028 
-0.281131 -0.0131235 
0.541774 0.469807 
0.612018 0.110891 
-0.0398679 -0.0527807 
0.020658 0.00943989 
-0.0725211 0.0842963 
0.242242 0.199152 
0.0315588 -0.136459 
-0.389477 -0.35668 
-0.281956 -0.0148134 
0.548421 0.476681 
0.611759 0.112251 
-0.0403478 -0.0532196 
0.0312528 0.0200701 
-0.0749036 0.0814015 
0.239853 0.1969 
0.0395625 -0.127908 
-0.400552 -0.367859 
-0.279639 -0.0133576 
0.555122 0.48361 
0.610802 0.112907 
-0.0384611 -0.0512921 
0.0393515 0.0282043 
-0.0753445 0.0804506 
0.239338 0.19652 
0.044896 -0.122029 
-0.414347 -0.381758 
-0.279493 -0.0140711 
0.559975 0.488689 
0.610512 0.114225 
-0.0355605 -0.0483507 
0.0457351 0.0346233 
-0.076301 0.0789862 
0.243136 0.200455 
0.0531465 -0.113235 
-0.424552 -0.392066 
-0.276955 -0.0123892 
0.559344 0.488285 
0.608003 0.113318 
-0.0320218 -0.0447714 
0.0460897 0.0350133 
-0.0769267 0.0778549 
0.24759 0.205045 
0.0612387 -0.104602 
-0.433969 -0.401587 
-0.274282 -0.0105692 
0.557184 0.486351 
0.608902 0.115814 
-0.0291472 -0.0418561 
