t PE VE R R2 BS
416 3.56178 4.29108 -0.0592314 0.449439 0.502259
417 3.7019 4.23398 -0.0587209 0.444277 0.501185
418 3.91988 4.16642 -0.0589361 0.438384 0.49955
419 4.1376 4.10482 -0.058621 0.433685 0.499038
420 4.2418 4.05907 -0.0584922 0.430663 0.499011
421 4.3119 4.00933 -0.0586515 0.427288 0.498162
422 4.33888 3.97137 -0.0598386 0.42494 0.497198
423 4.33435 3.93241 -0.0611794 0.421852 0.496696
424 4.30277 3.88942 -0.0634053 0.418295 0.496051
425 4.21187 3.85502 -0.0647544 0.415645 0.496871
426 4.00514 3.82709 -0.064644 0.413386 0.497466
427 3.762 3.81224 -0.0658215 0.412677 0.498925
428 3.54924 3.80835 -0.0665339 0.412513 0.500162
429 3.21528 3.82331 -0.0678389 0.413271 0.501946
430 2.95701 3.83814 -0.0694083 0.413694 0.50199
431 2.75885 3.86507 -0.0704162 0.41512 0.502037
432 2.60968 3.89896 -0.0706755 0.417254 0.502728
433 2.51229 3.91728 -0.071067 0.417891 0.502282
434 2.45618 3.95011 -0.0729851 0.42049 0.503149
435 2.42943 3.97267 -0.0757906 0.422036 0.50393
436 2.52154 3.97152 -0.0785145 0.42177 0.503459
437 2.67862 3.97099 -0.080874 0.421962 0.50384
438 2.77331 3.97655 -0.083637 0.422834 0.504492
439 2.86038 3.98422 -0.0859544 0.424154 0.50498
440 2.92309 3.99377 -0.0868393 0.425383 0.5054
441 2.97226 4.00884 -0.0873175 0.427251 0.506204
442 2.98917 4.02807 -0.0869184 0.429122 0.506976
443 3.0019 4.04302 -0.0862615 0.430597 0.50798
444 3.04431 4.04268 -0.0852712 0.430461 0.508809
445 3.24401 4.02646 -0.0844595 0.428313 0.508214
446 3.33863 4.04939 -0.082936 0.42925 0.509949
447 3.33652 4.05989 -0.0804514 0.429114 0.510822
448 3.36584 4.06488 -0.0791186 0.428413 0.510873
449 3.4016 4.0765 -0.0783024 0.428004 0.510317
450 3.43698 4.07612 -0.0775878 0.427068 0.508905
451 3.53147 4.05369 -0.0769326 0.423854 0.507129
452 3.67982 4.03172 -0.0764451 0.420497 0.505893
453 3.79304 4.0125 -0.0751588 0.417398 0.504153
454 3.86809 4.00318 -0.0728749 0.414863 0.502969
455 3.96355 3.99957 -0.0705299 0.412952 0.502558
456 4.10094 3.97815 -0.0674762 0.409597 0.501693
457 4.27612 3.94413 -0.0637702 0.405278 0.500164
458 4.39415 3.91403 -0.0622403 0.401413 0.498396
459 4.48767 3.88137 -0.0611504 0.397731 0.496819
460 4.67786 3.83664 -0.0611038 0.39331 0.494783
461 4.82273 3.79846 -0.0595481 0.389678 0.493009
462 4.98654 3.75689 -0.0583998 0.385706 0.491469
463 5.13591 3.72093 -0.057149 0.382303 0.489742
464 5.26861 3.69062 -0.0564791 0.379727 0.486968
465 5.45185 3.65124 -0.0558875 0.376641 0.482476
466 5.60287 3.61045 -0.055087 0.373325 0.47754
467 5.59653 3.59418 -0.0542702 0.37209 0.47392
468 5.56751 3.57555 -0.0520414 0.370443 0.470994
469 5.43905 3.57449 -0.0498442 0.370601 0.469577
470 5.29195 3.56415 -0.0487193 0.369547 0.467603
471 5.09929 3.57614 -0.0485689 0.37021 0.467032
472 4.89186 3.59428 -0.0491337 0.371708 0.467987
473 4.75017 3.6009 -0.0498021 0.372513 0.469023
474 4.66252 3.6084 -0.0513514 0.373697 0.469879
475 4.76038 3.59231 -0.0523409 0.372923 0.469426
476 4.94027 3.58169 -0.0534336 0.37288 0.469472
477 5.0867 3.56351 -0.0543394 0.371553 0.467607
478 5.22264 3.55097 -0.0547719 0.370717 0.467024
479 5.34977 3.53453 -0.0550786 0.369597 0.466891
480 5.46507 3.5128 -0.0550424 0.367594 0.467165
481 5.52168 3.4956 -0.0545893 0.365699 0.466928
482 5.56236 3.47603 -0.0538375 0.364479 0.467677
483 5.65468 3.45344 -0.052944 0.362634 0.46653
484 5.71235 3.43859 -0.0518112 0.361874 0.466179
485 5.73066 3.44164 -0.0509898 0.362487 0.46726
486 5.6583 3.45132 -0.0517114 0.363815 0.468423
