t PE VE R R2 BS
220 244.703 747.793 -3.0029 269.567 4.22963
221 247.152 759.021 -3.00926 272.304 4.2581
222 249.61 770.352 -3.01561 275.051 4.28655
223 252.074 781.779 -3.0219 277.806 4.31494
224 254.546 793.302 -3.02819 280.569 4.34329
225 257.025 804.923 -3.03445 283.342 4.37158
226 259.513 816.647 -3.0407 286.125 4.39984
227 262.01 828.473 -3.04689 288.917 4.42806
228 264.514 840.399 -3.05309 291.719 4.45666
229 267.026 852.428 -3.05928 294.53 4.4854
230 269.547 864.562 -3.06546 297.351 4.51412
231 272.075 876.797 -3.07163 300.18 4.54279
232 274.611 889.131 -3.0778 303.019 4.57142
233 277.155 901.569 -3.08396 305.866 4.60002
234 279.706 914.109 -3.09008 308.723 4.62857
235 282.264 926.751 -3.09619 311.588 4.65708
236 284.83 939.496 -3.10229 314.462 4.68556
237 287.403 952.343 -3.10838 317.344 4.714
238 289.982 965.292 -3.11444 320.234 4.7424
239 292.569 978.344 -3.1205 323.132 4.77077
240 295.162 991.5 -3.12653 326.038 4.7991
241 297.76 1004.76 -3.13257 328.951 4.82741
242 300.364 1018.12 -3.1386 331.871 4.85567
243 302.975 1031.57 -3.14462 334.799 4.88389
244 305.592 1045.13 -3.15061 337.734 4.91207
245 308.215 1058.79 -3.1566 340.676 4.94019
246 310.844 1072.55 -3.16254 343.626 4.96829
247 313.481 1086.41 -3.16845 346.584 4.99634
248 316.122 1100.37 -3.17436 349.549 5.02435
249 318.771 1114.43 -3.18026 352.521 5.0523
250 321.425 1128.6 -3.18613 355.501 5.08021
251 324.087 1142.86 -3.19201 358.488 5.10808
252 326.754 1157.23 -3.19785 361.483 5.13591
253 329.428 1171.7 -3.20367 364.485 5.16369
254 332.107 1186.26 -3.2095 367.494 5.19143
255 334.792 1200.94 -3.2153 370.51 5.21913
256 337.483 1215.71 -3.22107 373.533 5.24679
257 340.179 1230.58 -3.22679 376.562 5.27441
258 342.881 1245.55 -3.23252 379.598 5.30199
259 345.588 1260.62 -3.23825 382.64 5.32952
260 348.301 1275.79 -3.24395 385.689 5.35701
261 351.017 1291.06 -3.24963 388.743 5.38444
262 353.739 1306.42 -3.25528 391.802 5.41181
263 356.464 1321.88 -3.26092 394.867 5.43914
264 359.196 1337.44 -3.26654 397.939 5.46643
265 361.933 1353.1 -3.27214 401.017 5.49368
266 364.675 1368.87 -3.27772 404.102 5.52089
267 367.422 1384.74 -3.28327 407.193 5.54807
268 370.174 1400.71 -3.28881 410.289 5.57521
269 372.928 1416.78 -3.29435 413.389 5.6023
270 375.686 1432.94 -3.29984 416.494 5.62935
271 378.449 1449.2 -3.30534 419.604 5.65636
272 381.215 1465.55 -3.31084 422.719 5.68331
273 383.986 1482.01 -3.31635 425.839 5.71023
274 386.762 1498.56 -3.32183 428.966 5.73711
275 389.542 1515.21 -3.3273 432.098 5.76395
276 392.327 1531.97 -3.33275 435.235 5.79074
277 395.117 1548.82 -3.33819 438.378 5.81749
278 397.91 1565.77 -3.3436 441.526 5.84419
279 400.707 1582.82 -3.349 444.679 5.87085
280 403.51 1599.98 -3.35439 447.838 5.89748
281 406.316 1617.23 -3.35975 451.001 5.92407
282 409.124 1634.57 -3.36509 454.167 5.9506
283 411.935 1652 -3.37041 457.337 5.97709
284 414.749 1669.53 -3.37574 460.511 6.00352
285 417.566 1687.16 -3.38104 463.689 6.03014
286 420.386 1704.88 -3.38632 466.87 6.05687
287 423.208 1722.69 -3.39158 470.055 6.08356
288 426.033 1740.6 -3.39678 473.244 6.1102
289 428.861 1758.6 -3.40195 476.435 6.13685
290 431.693 1776.69 -3.40714 479.633 6.16349
291 434.528 1794.88 -3.41229 482.834 6.19007
292 437.366 1813.18 -3.41743 486.039 6.21662
293 440.206 1831.56 -3.42255 489.247 6.24314
294 443.051 1850.04 -3.42767 492.46 6.26961
295 445.896 1868.62 -3.43275 495.675 6.29604
296 448.744 1887.28 -3.43784 498.893 6.32242
297 451.595 1906.04 -3.44291 502.115 6.34876
298 454.449 1924.9 -3.44797 505.341 6.37507
299 457.306 1943.85 -3.453 508.571 6.40135
300 460.166 1962.9 -3.45804 511.804 6.42759
301 463.027 1982.04 -3.46303 515.04 6.4538
302 465.892 2001.27 -3.46804 518.279 6.47996
303 468.758 2020.59 -3.47301 521.52 6.50607
304 471.627 2040.01 -3.47794 524.765 6.53215
305 474.499 2059.53 -3.48288 528.015 6.55819
306 477.374 2079.14 -3.48781 531.268 6.5842
307 480.251 2098.85 -3.49273 534.524 6.61016
308 483.13 2118.65 -3.4976 537.782 6.63608
309 486.01 2138.53 -3.50243 541.043 6.66195
310 488.892 2158.51 -3.50721 544.305 6.68778
311 491.777 2178.59 -3.51197 547.572 6.71357
312 494.664 2198.76 -3.5167 550.842 6.73931
313 497.553 2219.02 -3.52141 554.114 6.76502
314 500.445 2239.38 -3.52612 557.39 6.7907
315 503.339 2259.84 -3.53083 560.669 6.81635
316 506.235 2280.4 -3.53552 563.951 6.84195
317 509.133 2301.04 -3.54017 567.236 6.86752
318 512.032 2321.78 -3.54479 570.521 6.89304
319 514.931 2342.6 -3.54938 573.808 6.91852
320 517.83 2363.52 -3.55395 577.096 6.94395
321 520.732 2384.52 -3.55851 580.387 6.96934
322 523.636 2405.62 -3.56303 583.681 6.99469
323 526.54 2426.81 -3.56756 586.976 7.01999
324 529.445 2448.08 -3.57205 590.273 7.04524
325 532.35 2469.44 -3.57653 593.57 7.07046
326 535.257 2490.89 -3.58098 596.87 7.09563
327 538.163 2512.43 -3.58539 600.17 7.12075
328 541.07 2534.05 -3.58977 603.471 7.14582
329 543.976 2555.75 -3.59413 606.771 7.17084
330 546.883 2577.54 -3.59847 610.073 7.19582
331 549.791 2599.43 -3.6028 613.378 7.22076
332 552.699 2621.39 -3.60709 616.681 7.24566
333 555.606 2643.43 -3.61138 619.986 7.2705
334 558.513 2665.56 -3.61566 623.291 7.2953
335 561.422 2687.77 -3.6199 626.598 7.32006
336 564.332 2710.08 -3.62413 629.906 7.34478
337 567.244 2732.48 -3.62836 633.218 7.36947
338 570.156 2754.95 -3.63256 636.53 7.3941
339 573.067 2777.5 -3.63674 639.841 7.41868
340 575.976 2800.13 -3.64089 643.151 7.44322
341 578.886 2822.84 -3.64503 646.463 7.4677
342 581.797 2845.64 -3.64914 649.776 7.49214
343 584.707 2868.51 -3.65321 653.089 7.51652
344 587.617 2891.46 -3.65725 656.402 7.54086
345 590.528 2914.5 -3.66129 659.717 7.56516
346 593.437 2937.62 -3.66533 663.03 7.58941
347 596.347 2960.83 -3.66937 666.344 7.61363
348 599.256 2984.12 -3.67343 669.658 7.63781
349 602.164 3007.48 -3.67745 672.972 7.66194
350 605.07 3030.93 -3.68146 676.284 7.68603
351 607.976 3054.46 -3.68547 679.597 7.71008
352 610.882 3078.07 -3.68949 682.91 7.73409
353 613.789 3101.76 -3.6935 686.225 7.75805
354 616.694 3125.52 -3.69752 689.537 7.78197
355 619.599 3149.37 -3.70154 692.851 7.80585
356 622.504 3173.31 -3.70556 696.165 7.82971
357 625.409 3197.33 -3.70954 699.48 7.85353
358 628.313 3221.42 -3.71349 702.793 7.8773
359 631.216 3245.58 -3.71741 706.107 7.90103
360 634.119 3269.82 -3.72128 709.421 7.92471
361 637.02 3294.13 -3.72515 712.733 7.94833
362 639.922 3318.52 -3.72899 716.046 7.97191
363 642.823 3342.99 -3.73281 719.359 7.99546
364 645.722 3367.54 -3.7366 722.67 8.01897
365 648.619 3392.16 -3.74038 725.98 8.04243
366 651.515 3416.87 -3.74413 729.29 8.06587
367 654.408 3441.65 -3.74786 732.597 8.08935
368 657.3 3466.51 -3.75156 735.903 8.11283
369 660.19 3491.43 -3.75525 739.207 8.13625
370 663.08 3516.43 -3.75893 742.512 8.15963
371 665.966 3541.49 -3.76261 745.814 8.18295
372 668.85 3566.62 -3.7663 749.113 8.20622
373 671.733 3591.81 -3.76995 752.412 8.22945
374 674.614 3617.08 -3.77358 755.709 8.25262
375 677.493 3642.41 -3.7772 759.005 8.27575
376 680.372 3667.82 -3.78083 762.3 8.29884
377 683.248 3693.3 -3.78443 765.594 8.32189
378 686.123 3718.85 -3.788 768.886 8.3449
379 688.997 3744.47 -3.79156 772.178 8.36786
380 691.868 3770.15 -3.79509 775.467 8.39077
381 694.737 3795.89 -3.79858 778.754 8.41363
382 697.604 3821.71 -3.80205 782.041 8.43646
383 700.471 3847.6 -3.80551 785.326 8.45924
384 703.336 3873.56 -3.80898 788.611 8.48198
385 706.197 3899.58 -3.81245 791.891 8.50467
386 709.053 3925.64 -3.81589 795.168 8.5273
387 711.908 3951.78 -3.81928 798.443 8.5499
388 714.759 3977.97 -3.82267 801.713 8.57244
389 717.606 4004.22 -3.82604 804.981 8.59493
390 720.45 4030.52 -3.82942 808.246 8.61737
391 723.29 4056.89 -3.83277 811.506 8.63977
392 726.125 4083.3 -3.83609 814.763 8.66211
393 728.958 4109.78 -3.83939 818.016 8.6844
394 731.786 4136.3 -3.84266 821.266 8.70663
395 734.611 4162.88 -3.84592 824.513 8.72882
396 737.432 4189.51 -3.84916 827.755 8.75096
397 740.249 4216.2 -3.85237 830.993 8.77306
398 743.063 4242.95 -3.85558 834.228 8.79512
399 745.873 4269.75 -3.85879 837.46 8.81712
400 748.678 4296.6 -3.86199 840.688 8.83908
401 751.479 4323.51 -3.86514 843.911 8.86099
402 754.279 4350.49 -3.86828 847.134 8.88287
403 757.074 4377.52 -3.87142 850.351 8.90471
404 759.868 4404.61 -3.87457 853.568 8.92649
405 762.657 4431.75 -3.87771 856.78 8.94823
406 765.443 4458.93 -3.88084 859.988 8.96991
407 768.226 4486.19 -3.88394 863.194 8.99156
408 771.003 4513.49 -3.887 866.395 9.01317
409 773.777 4540.86 -3.89009 869.593 9.03473
410 776.548 4568.29 -3.89317 872.786 9.05627
411 779.314 4595.76 -3.89621 875.976 9.07775
412 782.075 4623.28 -3.89926 879.161 9.09917
413 784.833 4650.84 -3.90226 882.343 9.12054
414 787.586 4678.45 -3.90526 885.52 9.14187
415 790.337 4706.12 -3.90828 888.694 9.16315
416 793.084 4733.85 -3.91129 891.865 9.18441
417 795.826 4761.61 -3.91431 895.031 9.20561
418 798.566 4789.45 -3.9173 898.195 9.22678
419 801.302 4817.34 -3.92024 901.355 9.24791
420 804.034 4845.28 -3.92316 904.513 9.26899
421 806.762 4873.25 -3.92603 907.665 9.29002
422 809.485 4901.28 -3.9289 910.812 9.311
423 812.204 4929.35 -3.93174 913.957 9.33194
424 814.921 4957.47 -3.93457 917.099 9.35283
425 817.631 4985.63 -3.93737 920.234 9.37367
426 820.339 5013.84 -3.94017 923.367 9.39447
427 823.044 5042.1 -3.94295 926.497 9.41522
428 825.745 5070.41 -3.94571 929.623 9.43594
429 828.442 5098.75 -3.94842 932.746 9.45659
430 831.132 5127.13 -3.95113 935.861 9.47719
431 833.818 5155.54 -3.95382 938.972 9.49775
432 836.5 5184 -3.95651 942.08 9.51825
433 839.178 5212.5 -3.95918 945.183 9.53872
434 841.852 5241.05 -3.96184 948.282 9.55914
435 844.522 5269.65 -3.96451 951.377 9.57953
436 847.187 5298.29 -3.96716 954.467 9.59988
437 849.845 5326.97 -3.96979 957.551 9.62019
438 852.498 5355.67 -3.97239 960.629 9.64044
439 855.145 5384.41 -3.97498 963.701 9.66063
440 857.786 5413.17 -3.97757 966.767 9.68078
441 860.422 5441.97 -3.98013 969.828 9.70087
442 863.052 5470.8 -3.98264 972.883 9.72092
443 865.678 5499.69 -3.98516 975.934 9.74094
444 868.299 5528.6 -3.98765 978.979 9.76091
445 870.916 5557.57 -3.99014 982.021 9.78086
446 873.526 5586.56 -3.99264 985.056 9.80076
447 876.132 5615.59 -3.99512 988.086 9.82062
448 878.732 5644.66 -3.99758 991.111 9.84044
449 881.327 5673.77 -4.00001 994.131 9.86021
450 883.917 5702.91 -4.00242 997.144 9.87995
451 886.5 5732.08 -4.0048 1000.15 9.89963
452 889.078 5761.28 -4.00718 1003.15 9.91931
453 891.65 5790.49 -4.00951 1006.15 9.93895
454 894.216 5819.73 -4.01182 1009.14 9.95855
455 896.776 5849.02 -4.01408 1012.12 9.97812
456 899.333 5878.35 -4.01635 1015.1 9.99765
457 901.88 5907.7 -4.01861 1018.07 10.0171
458 904.42 5937.08 -4.02085 1021.04 10.0366
459 906.955 5966.49 -4.02309 1024 10.056
460 909.48 5995.9 -4.0253 1026.94 10.0753
461 911.999 6025.35 -4.02752 1029.89 10.0946
462 914.513 6054.83 -4.02975 1032.82 10.1138
463 917.02 6084.32 -4.03198 1035.75 10.133
464 919.52 6113.85 -4.03416 1038.67 10.1522
465 922.013 6143.4 -4.03631 1041.59 10.1713
466 924.499 6172.96 -4.03844 1044.5 10.1903
467 926.978 6202.54 -4.04056 1047.4 10.2093
468 929.45 6232.15 -4.04266 1050.29 10.2283
469 931.914 6261.78 -4.04472 1053.18 10.2472
470 934.371 6291.43 -4.04678 1056.06 10.2661
471 936.822 6321.11 -4.0488 1058.93 10.285
472 939.268 6350.82 -4.05085 1061.79 10.3038
473 941.708 6380.54 -4.0529 1064.65 10.3225
474 944.14 6410.28 -4.05493 1067.51 10.3412
475 946.566 6440.03 -4.05693 1070.35 10.3599
476 948.986 6469.81 -4.05891 1073.19 10.3785
477 951.398 6499.6 -4.06089 1076.03 10.3971
478 953.802 6529.4 -4.06285 1078.85 10.4156
479 956.199 6559.21 -4.0648 1081.66 10.434
480 958.59 6589.04 -4.06671 1084.47 10.4525
481 960.973 6618.88 -4.06856 1087.28 10.4708
482 963.352 6648.76 -4.07038 1090.07 10.4892
483 965.722 6678.65 -4.07218 1092.86 10.5075
484 968.087 6708.57 -4.07394 1095.65 10.5257
485 970.444 6738.5 -4.07569 1098.42 10.5439
486 972.794 6768.43 -4.07741 1101.19 10.5621
487 975.136 6798.38 -4.07912 1103.95 10.5802
488 977.47 6828.34 -4.0808 1106.7 10.5983
489 979.797 6858.31 -4.08249 1109.44 10.6163
490 982.121 6888.31 -4.08419 1112.18 10.6343
491 984.439 6918.34 -4.08588 1114.92 10.6522
492 986.749 6948.38 -4.08756 1117.64 10.6701
493 989.051 6978.41 -4.08926 1120.36 10.6879
494 991.346 7008.47 -4.09097 1123.07 10.7058
495 993.63 7038.53 -4.09265 1125.77 10.7235
496 995.909 7068.62 -4.09433 1128.46 10.7413
497 998.178 7098.72 -4.09599 1131.15 10.7589
498 1000.44 7128.81 -4.0976 1133.82 10.7766
499 1002.69 7158.9 -4.09918 1136.49 10.7942
500 1004.94 7189.01 -4.10073 1139.15 10.8117
501 1007.17 7219.12 -4.10226 1141.8 10.8292
502 1009.4 7249.25 -4.10374 1144.44 10.8467
503 1011.62 7279.39 -4.10523 1147.07 10.8641
504 1013.83 7309.53 -4.10669 1149.7 10.8815
505 1016.04 7339.68 -4.10814 1152.31 10.8988
506 1018.24 7369.87 -4.1096 1154.92 10.9162
507 1020.43 7400.06 -4.11106 1157.52 10.9334
508 1022.61 7430.26 -4.11254 1160.12 10.9506
509 1024.78 7460.48 -4.11397 1162.71 10.9679
510 1026.95 7490.7 -4.1154 1165.29 10.985
511 1029.11 7520.95 -4.11685 1167.86 11.0021
512 1031.27 7551.19 -4.1183 1170.42 11.0192
513 1033.42 7581.44 -4.11972 1172.98 11.0362
514 1035.56 7611.68 -4.12112 1175.53 11.0532
515 1037.69 7641.91 -4.12248 1178.07 11.0701
516 1039.81 7672.15 -4.12382 1180.6 11.087
517 1041.92 7702.38 -4.12516 1183.13 11.1039
518 1044.03 7732.62 -4.12647 1185.64 11.1207
519 1046.13 7762.87 -4.12777 1188.15 11.1375
520 1048.22 7793.12 -4.12904 1190.65 11.1542
521 1050.3 7823.35 -4.13029 1193.14 11.1709
522 1052.37 7853.59 -4.1315 1195.62 11.1875
523 1054.44 7883.83 -4.13268 1198.09 11.2041
524 1056.5 7914.09 -4.13384 1200.56 11.2207
525 1058.55 7944.36 -4.13497 1203.02 11.2372
526 1060.6 7974.61 -4.13607 1205.47 11.2536
527 1062.63 8004.86 -4.13713 1207.91 11.2701
