t PE VE R00
300 13.8457 0.482213 -0.027109
301 13.838 0.48423 -0.0271998
302 13.8302 0.48625 -0.0272908
303 13.8224 0.488272 -0.0273817
304 13.8146 0.490298 -0.0274726
305 13.8068 0.492326 -0.0275635
306 13.799 0.494357 -0.0276544
307 13.7911 0.496391 -0.0277454
308 13.7832 0.498427 -0.0278363
309 13.7752 0.500466 -0.0279273
310 13.7673 0.502508 -0.0280182
311 13.7593 0.504552 -0.0281092
312 13.7513 0.506599 -0.0282002
313 13.7432 0.508648 -0.0282912
314 13.7352 0.510699 -0.0283822
315 13.7271 0.512753 -0.0284732
316 13.719 0.514809 -0.0285642
317 13.7108 0.516868 -0.0286552
318 13.7027 0.518929 -0.0287462
319 13.6945 0.520992 -0.0288373
320 13.6863 0.523057 -0.0289283
321 13.678 0.525124 -0.0290194
322 13.6698 0.527193 -0.0291104
323 13.6615 0.529265 -0.0292015
324 13.6532 0.531338 -0.0292925
325 13.6448 0.533413 -0.0293836
326 13.6365 0.53549 -0.0294747
327 13.6281 0.537569 -0.0295658
328 13.6197 0.53965 -0.0296569
329 13.6112 0.541732 -0.029748
330 13.6027 0.543817 -0.0298391
331 13.5942 0.545903 -0.0299303
332 13.5857 0.54799 -0.0300214
333 13.5772 0.550079 -0.0301125
334 13.5686 0.55217 -0.0302037
335 13.56 0.554262 -0.0302948
336 13.5514 0.556356 -0.030386
337 13.5428 0.558451 -0.0304772
338 13.5341 0.560547 -0.0305684
339 13.5254 0.562645 -0.0306596
340 13.5167 0.564744 -0.0307508
341 13.5079 0.566844 -0.030842
342 13.4992 0.568945 -0.0309332
343 13.4904 0.571048 -0.0310244
344 13.4815 0.573151 -0.0311156
345 13.4727 0.575256 -0.0312069
346 13.4638 0.577362 -0.0312981
347 13.4549 0.579468 -0.0313894
348 13.446 0.581576 -0.0314806
349 13.4371 0.583684 -0.0315719
350 13.4281 0.585794 -0.0316632
351 13.4191 0.587904 -0.0317545
352 13.4101 0.590015 -0.0318457
353 13.401 0.592126 -0.031937
354 13.3919 0.594238 -0.0320284
355 13.3829 0.596351 -0.0321197
356 13.3737 0.598465 -0.032211
357 13.3646 0.600579 -0.0323023
358 13.3554 0.602693 -0.0323937
359 13.3462 0.604808 -0.032485
360 13.337 0.606923 -0.0325764
361 13.3278 0.609039 -0.0326677
362 13.3185 0.611155 -0.0327591
363 13.3092 0.613271 -0.0328505
364 13.2999 0.615388 -0.0329419
365 13.2905 0.617504 -0.0330333
366 13.2812 0.619621 -0.0331247
367 13.2718 0.621738 -0.0332161
368 13.2624 0.623855 -0.0333075
369 13.2529 0.625972 -0.033399
370 13.2434 0.628089 -0.0334904
371 13.234 0.630206 -0.0335818
372 13.2244 0.632323 -0.0336733
373 13.2149 0.634439 -0.0337648
374 13.2053 0.636556 -0.0338562
375 13.1957 0.638672 -0.0339477
376 13.1861 0.640788 -0.0340392
377 13.1765 0.642903 -0.0341307
378 13.1668 0.645019 -0.0342222
379 13.1571 0.647134 -0.0343137
380 13.1474 0.649248 -0.0344052
381 13.1377 0.651362 -0.0344968
382 13.1279 0.653475 -0.0345883
383 13.1182 0.655588 -0.0346798
384 13.1083 0.6577 -0.0347714
385 13.0985 0.659812 -0.034863
386 13.0887 0.661923 -0.0349545
387 13.0788 0.664033 -0.0350461
388 13.0689 0.666142 -0.0351377
389 13.0589 0.668251 -0.0352293
390 13.049 0.670359 -0.0353209
391 13.039 0.672466 -0.0354125
392 13.029 0.674572 -0.0355041
393 13.019 0.676676 -0.0355957
394 13.0089 0.67878 -0.0356874
395 12.9989 0.680883 -0.035779
396 12.9888 0.682985 -0.0358707
397 12.9787 0.685086 -0.0359623
398 12.9685 0.687185 -0.036054
399 12.9584 0.689283 -0.0361457
400 12.9482 0.69138 -0.0362374
401 12.9379 0.693476 -0.036329
402 12.9277 0.695571 -0.0364207
403 12.9174 0.697664 -0.0365125
404 12.9072 0.699755 -0.0366042
405 12.8969 0.701845 -0.0366959
406 12.8865 0.703934 -0.0367876
407 12.8762 0.706021 -0.0368794
408 12.8658 0.708107 -0.0369711
409 12.8554 0.710191 -0.0370629
410 12.845 0.712273 -0.0371546
411 12.8345 0.714354 -0.0372464
412 12.824 0.716433 -0.0373382
413 12.8135 0.71851 -0.03743
414 12.803 0.720586 -0.0375218
415 12.7925 0.72266 -0.0376136
416 12.7819 0.724731 -0.0377054
417 12.7713 0.726801 -0.0377972
418 12.7607 0.728869 -0.0378891
419 12.7501 0.730935 -0.0379809
420 12.7394 0.732999 -0.0380728
421 12.7287 0.735061 -0.0381646
422 12.718 0.737121 -0.0382565
423 12.7073 0.739179 -0.0383484
424 12.6965 0.741235 -0.0384402
425 12.6858 0.743288 -0.0385321
426 12.675 0.745339 -0.038624
427 12.6642 0.747388 -0.0387159
428 12.6533 0.749435 -0.0388078
429 12.6425 0.751479 -0.0388998
430 12.6316 0.753521 -0.0389917
431 12.6207 0.755561 -0.0390836
432 12.6097 0.757598 -0.0391756
433 12.5988 0.759633 -0.0392675
434 12.5878 0.761665 -0.0393595
435 12.5768 0.763695 -0.0394515
436 12.5658 0.765722 -0.0395434
437 12.5547 0.767747 -0.0396354
438 12.5437 0.769769 -0.0397274
439 12.5326 0.771788 -0.0398194
440 12.5215 0.773805 -0.0399114
441 12.5103 0.775818 -0.0400035
442 12.4992 0.77783 -0.0400955
443 12.488 0.779838 -0.0401875
444 12.4768 0.781843 -0.0402796
445 12.4656 0.783846 -0.0403716
446 12.4543 0.785846 -0.0404637
447 12.4431 0.787843 -0.0405557
448 12.4318 0.789837 -0.0406478
449 12.4205 0.791828 -0.0407399
450 12.4091 0.793816 -0.040832
451 12.3978 0.7958 -0.0409241
452 12.3864 0.797782 -0.0410162
453 12.375 0.799761 -0.0411083
454 12.3636 0.801737 -0.0412004
455 12.3521 0.803709 -0.0412926
456 12.3407 0.805678 -0.0413847
457 12.3292 0.807644 -0.0414769
458 12.3177 0.809607 -0.041569
459 12.3062 0.811567 -0.0416612
460 12.2946 0.813523 -0.0417534
461 12.283 0.815476 -0.0418455
462 12.2714 0.817426 -0.0419377
463 12.2598 0.819372 -0.0420299
464 12.2482 0.821314 -0.0421221
465 12.2365 0.823254 -0.0422143
466 12.2249 0.82519 -0.0423066
467 12.2132 0.827122 -0.0423988
468 12.2015 0.829051 -0.042491
469 12.1897 0.830976 -0.0425833
470 12.178 0.832898 -0.0426755
471 12.1662 0.834816 -0.0427678
472 12.1544 0.83673 -0.0428601
473 12.1426 0.838641 -0.0429523
474 12.1307 0.840548 -0.0430446
475 12.1188 0.842452 -0.0431369
476 12.107 0.844351 -0.0432292
477 12.0951 0.846247 -0.0433215
478 12.0831 0.84814 -0.0434138
479 12.0712 0.850028 -0.0435062
480 12.0592 0.851912 -0.0435985
481 12.0472 0.853793 -0.0436908
482 12.0352 0.85567 -0.0437832
483 12.0232 0.857543 -0.0438755
484 12.0111 0.859412 -0.0439679
485 11.9991 0.861277 -0.0440603
486 11.987 0.863138 -0.0441527
487 11.9749 0.864995 -0.044245
488 11.9627 0.866848 -0.0443374
489 11.9506 0.868697 -0.0444298
490 11.9384 0.870542 -0.0445222
491 11.9262 0.872383 -0.0446147
492 11.914 0.87422 -0.0447071
493 11.9018 0.876053 -0.0447995
494 11.8896 0.877881 -0.044892
495 11.8773 0.879706 -0.0449844
496 11.865 0.881526 -0.0450769
497 11.8527 0.883342 -0.0451693
498 11.8404 0.885154 -0.0452618
499 11.828 0.886962 -0.0453543
500 11.8157 0.888765 -0.0454468
501 11.8033 0.890564 -0.0455393
502 11.7909 0.892359 -0.0456318
503 11.7784 0.894149 -0.0457243
504 11.766 0.895935 -0.0458168
505 11.7535 0.897717 -0.0459093
506 11.7411 0.899495 -0.0460018
507 11.7286 0.901268 -0.0460944
508 11.716 0.903036 -0.0461869
509 11.7035 0.9048 -0.0462795
510 11.691 0.90656 -0.0463721
511 11.6784 0.908315 -0.0464646
512 11.6658 0.910066 -0.0465572
513 11.6532 0.911813 -0.0466498
514 11.6405 0.913554 -0.0467424
515 11.6279 0.915292 -0.046835
516 11.6152 0.917025 -0.0469276
517 11.6025 0.918753 -0.0470202
518 11.5898 0.920477 -0.0471128
519 11.5771 0.922196 -0.0472054
520 11.5644 0.92391 -0.0472981
521 11.5516 0.92562 -0.0473907
522 11.5388 0.927325 -0.0474834
523 11.526 0.929026 -0.047576
524 11.5132 0.930722 -0.0476687
525 11.5004 0.932413 -0.0477614
526 11.4875 0.9341 -0.0478541
527 11.4747 0.935782 -0.0479467
528 11.4618 0.937459 -0.0480394
529 11.4489 0.939132 -0.0481321
530 11.436 0.9408 -0.0482249
531 11.423 0.942463 -0.0483176
532 11.4101 0.944121 -0.0484103
533 11.3971 0.945775 -0.048503
534 11.3841 0.947424 -0.0485958
535 11.3711 0.949068 -0.0486885
536 11.3581 0.950707 -0.0487813
537 11.345 0.952342 -0.048874
538 11.332 0.953971 -0.0489668
539 11.3189 0.955596 -0.0490596
540 11.3058 0.957216 -0.0491523
541 11.2927 0.958832 -0.0492451
542 11.2796 0.960442 -0.0493379
543 11.2664 0.962048 -0.0494307
544 11.2533 0.963648 -0.0495235
545 11.2401 0.965244 -0.0496164
546 11.2269 0.966835 -0.0497092
547 11.2137 0.968421 -0.049802
548 11.2005 0.970002 -0.0498948
549 11.1872 0.971578 -0.0499877
550 11.174 0.97315 -0.0500805
551 11.1607 0.974716 -0.0501734
552 11.1474 0.976278 -0.0502663
553 11.1341 0.977834 -0.0503591
554 11.1208 0.979386 -0.050452
555 11.1074 0.980933 -0.0505449
556 11.0941 0.982474 -0.0506378
557 11.0807 0.984011 -0.0507307
558 11.0673 0.985543 -0.0508236
559 11.0539 0.98707 -0.0509165
560 11.0405 0.988592 -0.0510094
561 11.027 0.990109 -0.0511023
562 11.0136 0.991621 -0.0511953
563 11.0001 0.993128 -0.0512882
564 10.9867 0.99463 -0.0513811
565 10.9732 0.996128 -0.0514741
566 10.9596 0.99762 -0.0515671
567 10.9461 0.999107 -0.05166
568 10.9326 1.00059 -0.051753
569 10.919 1.00207 -0.051846
570 10.9054 1.00354 -0.051939
571 10.8919 1.00501 -0.0520319
572 10.8783 1.00647 -0.0521249
573 10.8646 1.00793 -0.0522179
574 10.851 1.00938 -0.052311
575 10.8374 1.01082 -0.052404
576 10.8237 1.01227 -0.052497
577 10.81 1.0137 -0.05259
578 10.7963 1.01514 -0.0526831
579 10.7826 1.01656 -0.0527761
580 10.7689 1.01799 -0.0528691
581 10.7552 1.0194 -0.0529622
582 10.7414 1.02082 -0.0530553
583 10.7277 1.02222 -0.0531483
584 10.7139 1.02363 -0.0532414
585 10.7001 1.02502 -0.0533345
586 10.6863 1.02641 -0.0534276
587 10.6725 1.0278 -0.0535206
588 10.6587 1.02918 -0.0536137
589 10.6448 1.03056 -0.0537068
590 10.631 1.03193 -0.0538
591 10.6171 1.0333 -0.0538931
592 10.6032 1.03466 -0.0539862
593 10.5893 1.03602 -0.0540793
594 10.5754 1.03737 -0.0541724
595 10.5615 1.03872 -0.0542656
596 10.5475 1.04006 -0.0543587
597 10.5336 1.0414 -0.0544519
598 10.5196 1.04273 -0.054545
599 10.5057 1.04406 -0.0546382
600 10.4917 1.04539 -0.0547314
601 10.4777 1.0467 -0.0548245
602 10.4636 1.04802 -0.0549177
603 10.4496 1.04932 -0.0550109
604 10.4356 1.05063 -0.0551041
605 10.4215 1.05193 -0.0551973
606 10.4075 1.05322 -0.0552905
607 10.3934 1.05451 -0.0553837
608 10.3793 1.05579 -0.0554769
609 10.3652 1.05707 -0.0555701
610 10.3511 1.05834 -0.0556634
611 10.337 1.05961 -0.0557566
612 10.3228 1.06088 -0.0558498
613 10.3087 1.06214 -0.0559431
614 10.2945 1.06339 -0.0560363
615 10.2803 1.06464 -0.0561296
616 10.2662 1.06589 -0.0562228
617 10.252 1.06712 -0.0563161
618 10.2378 1.06836 -0.0564093
619 10.2235 1.06959 -0.0565026
620 10.2093 1.07082 -0.0565959
621 10.1951 1.07204 -0.0566892
622 10.1808 1.07325 -0.0567825
623 10.1666 1.07446 -0.0568758
624 10.1523 1.07567 -0.0569691
625 10.138 1.07687 -0.0570624
626 10.1237 1.07807 -0.0571557
627 10.1094 1.07926 -0.057249
628 10.0951 1.08045 -0.0573423
629 10.0808 1.08163 -0.0574356
630 10.0664 1.08281 -0.057529
631 10.0521 1.08398 -0.0576223
632 10.0377 1.08515 -0.0577156
633 10.0233 1.08632 -0.057809
634 10.009 1.08748 -0.0579023
635 9.99458 1.08863 -0.0579957
636 9.98018 1.08978 -0.058089
637 9.96577 1.09093 -0.0581824
638 9.95135 1.09207 -0.0582758
639 9.93692 1.09321 -0.0583691
640 9.92249 1.09434 -0.0584625
641 9.90804 1.09547 -0.0585559
642 9.89358 1.09659 -0.0586493
643 9.87911 1.09771 -0.0587427
644 9.86463 1.09882 -0.0588361
645 9.85015 1.09993 -0.0589295
646 9.83565 1.10104 -0.0590229
647 9.82115 1.10214 -0.0591163
648 9.80664 1.10323 -0.0592097
