n t PE VE R R2 BS
2510 2451 1.98969 0.557702 -0.178466 0.162749 0.265009
2520 1855 2.04304 0.573984 -0.157732 0.179085 0.26097
2530 2299 1.95877 0.617493 -0.127718 0.21649 0.277108
2540 2011 2.03727 0.680538 -0.11395 0.268841 0.30818
2550 1844 2.16812 0.757163 -0.117482 0.326837 0.335292
2560 2457 2.11292 0.834323 -0.126354 0.375235 0.35761
2570 2384 1.97606 0.921754 -0.129967 0.425843 0.378887
2580 1841 1.60532 1.03774 -0.146572 0.490521 0.408463
2590 1831 1.36283 1.13295 -0.167816 0.548819 0.426774
2600 2464 1.22075 1.17907 -0.188072 0.584959 0.443742
2610 1848 1.0462 1.19976 -0.184429 0.592883 0.467909
2620 2398 0.937507 1.22273 -0.171599 0.581562 0.501688
2630 1899 0.743548 1.27949 -0.162037 0.577377 0.538223
2640 1835 0.68435 1.30086 -0.155284 0.559576 0.55911
2650 2118 0.693887 1.32214 -0.151838 0.543817 0.575073
2660 2191 0.91771 1.31131 -0.138281 0.517621 0.574856
2670 2189 1.26741 1.22411 -0.109933 0.465342 0.564639
2680 2137 1.53983 1.12884 -0.0797913 0.423076 0.555178
2690 1844 1.49494 1.0846 -0.0458228 0.408145 0.55499
2700 2466 1.19344 1.01695 0.00456124 0.383066 0.536925
2710 1836 0.785432 0.945893 0.0504239 0.357148 0.499463
2720 1827 0.316521 0.874759 0.0906958 0.328616 0.449494
2730 2447 0.0489902 0.81418 0.119747 0.300034 0.409827
2740 1818 0.180347 0.775928 0.12407 0.284701 0.386631
2750 1843 0.250477 0.742515 0.116383 0.273095 0.370405
2760 2448 0.398363 0.702647 0.100022 0.256126 0.350054
2770 2467 0.803242 0.678123 0.104279 0.249653 0.329668
2780 1829 1.28771 0.67217 0.121257 0.253633 0.312129
2790 2444 1.63372 0.687184 0.116993 0.268505 0.301653
2800 1841 1.97031 0.723444 0.097376 0.293807 0.308428
2810 1817 2.27793 0.764498 0.0797333 0.322482 0.323895
2820 2449 2.64428 0.795442 0.0576912 0.348655 0.335431
2830 1835 2.68967 0.805114 0.00859588 0.361891 0.344353
2840 1819 2.36009 0.820621 -0.0549297 0.373663 0.357151
2850 2450 1.79867 0.872341 -0.111611 0.403804 0.375037
2860 2472 1.21509 0.939136 -0.16859 0.437167 0.39365
2870 1819 0.854257 0.978806 -0.217461 0.451765 0.411307
2880 1822 0.659999 0.997293 -0.24871 0.454253 0.427611
2890 1815 0.626114 1.00454 -0.28282 0.45354 0.438694
2900 2448 0.659196 0.956554 -0.302503 0.423109 0.433374
