t PE VE R R2
293 0.316978 0.357173 -0.198992 0.365025
294 0.358183 0.342418 -0.182191 0.346918
295 0.40334 0.332166 -0.157329 0.330731
296 0.452393 0.327213 -0.124344 0.317888
297 0.505433 0.328517 -0.0836103 0.310285
298 0.56262 0.337128 -0.0360776 0.310085
299 0.624021 0.35412 0.0166218 0.319335
300 0.689378 0.380221 0.0721621 0.339438
301 0.757872 0.415651 0.127645 0.370641
302 0.827997 0.459908 0.179867 0.41173
303 0.89762 0.511768 0.225704 0.460139
304 0.964248 0.569582 0.262522 0.512487
305 1.02541 0.630702 0.288542 0.56537
306 1.07903 0.693281 0.30307 0.616113
307 1.1236 0.756048 0.306577 0.663185
308 1.15816 0.817573 0.300631 0.706158
309 1.18215 0.876182 0.287721 0.745263
310 1.19514 0.929801 0.270978 0.780761
311 1.19672 0.976247 0.253831 0.812419
312 1.18651 1.01327 0.239601 0.839338
313 1.16437 1.03871 0.231093 0.86023
314 1.13062 1.05115 0.230241 0.874007
315 1.08624 1.05066 0.237887 0.880376
316 1.03292 1.03873 0.253741 0.880089
317 0.972823 1.01787 0.276519 0.87473
318 0.908305 0.991094 0.304211 0.866157
319 0.841513 0.961033 0.334401 0.855889
320 0.774089 0.929491 0.364561 0.844686
321 0.707021 0.897409 0.392266 0.832444
322 0.640668 0.865224 0.415327 0.818349
323 0.574904 0.832574 0.431861 0.801189
324 0.509339 0.79928 0.44032 0.779722
325 0.443562 0.76473 0.439517 0.75303
326 0.377343 0.72817 0.428659 0.720814
327 0.310792 0.690126 0.407376 0.683599
328 0.244436 0.651537 0.375772 0.642812
329 0.179217 0.613826 0.334458 0.600699
330 0.116393 0.578158 0.284582 0.560074
331 0.0573778 0.546388 0.22782 0.523914
332 0.0035219 0.520178 0.166347 0.494843
333 -0.0440985 0.50024 0.102744 0.474632
334 -0.084853 0.486706 0.0398707 0.463809
335 -0.118634 0.479157 -0.0193036 0.461526
336 -0.14582 0.476682 -0.0719016 0.465731
337 -0.167123 0.47814 -0.11535 0.473658
338 -0.183363 0.482517 -0.147589 0.482517
339 -0.19521 0.489304 -0.167261 0.490206
340 -0.202985 0.498707 -0.173858 0.495834
341 -0.206542 0.511463 -0.167813 0.499878
342 -0.205293 0.528577 -0.150501 0.503869
343 -0.198362 0.550609 -0.124127 0.509717
344 -0.184824 0.576897 -0.0915121 0.5189
345 -0.163989 0.605384 -0.055803 0.531826
346 -0.135649 0.633332 -0.0201457 0.547622
347 -0.100241 0.657726 0.0126209 0.564387
348 -0.0588977 0.675792 0.0402349 0.579797
349 -0.0133624 0.68576 0.0612331 0.591812
350 0.0342323 0.687412 0.0751014 0.599213
351 0.0817166 0.681997 0.0823065 0.601758
352 0.127293 0.671531 0.0841514 0.599908
353 0.169875 0.657831 0.0824436 0.594302
354 0.209212 0.641882 0.0790564 0.585324
355 0.245765 0.623704 0.0755353 0.572965
356 0.280413 0.60272 0.0728718 0.556968
357 0.314138 0.578261 0.0714613 0.537063
358 0.347774 0.549882 0.0711748 0.513124
359 0.381857 0.517483 0.0714579 0.485216
360 0.416557 0.481292 0.0714082 0.453557
361 0.451688 0.441793 0.069826 0.418471
362 0.486793 0.399719 0.0652627 0.380382
363 0.521295 0.356033 0.0561031 0.339896
364 0.554682 0.311985 0.0407112 0.298004
365 0.586681 0.269219 0.0176622 0.256365
366 0.617333 0.229862 -0.0139441 0.217583
367 0.646919 0.196611 -0.054124 0.185235
368 0.6757 0.172321 -0.101689 0.163411
369 0.703547 0.159311 -0.154094 0.155643
370 0.729619 0.158758 -0.207555 0.163497
371 0.752264 0.169751 -0.257503 0.185479
372 0.769241 0.19016 -0.299226 0.216968
373 0.778205 0.216346 -0.328538 0.251381
374 0.777301 0.244262 -0.342258 0.282109
375 0.765653 0.270324 -0.338455 0.304431
376 0.743642 0.292154 -0.316517 0.316796
377 0.712916 0.310108 -0.277136 0.321186
378 0.676125 0.326182 -0.22227 0.322559
379 0.636442 0.344152 -0.155095 0.327488
380 0.596928 0.367371 -0.0798763 0.342255
381 0.559895 0.398695 -0.00174696 0.370858
382 0.526442 0.438773 0.0736724 0.413537
383 0.496313 0.485577 0.140756 0.466379
384 0.468176 0.53473 0.194395 0.522239
385 0.440221 0.580563 0.23045 0.572705
386 0.410919 0.617562 0.246068 0.610443
387 0.379666 0.642194 0.239827 0.631155
388 0.347161 0.65343 0.211738 0.63463
389 0.315387 0.652966 0.163134 0.624677
390 0.28725 0.644742 0.0965098 0.60811
391 0.265937 0.63381 0.0153346 0.593078
392 0.25416 0.625088 -0.076149 0.58716
393 0.253439 0.622244 -0.173139 0.595604
394 0.263591 0.626961 -0.270509 0.62007
395 0.282548 0.638469 -0.363072 0.658152
396 0.306594 0.654179 -0.445861 0.703797
397 0.330978 0.66946 -0.514412 0.748575
398 0.350809 0.680334 -0.56503 0.783542
399 0.362036 0.681828 -0.595 0.801269
400 0.362295 0.671297 -0.60274 0.797593
401 0.351424 0.650647 -0.587877 0.772668
402 0.331546 0.624431 -0.551246 0.73109
403 0.306683 0.600487 -0.494822 0.681069
404 0.281989 0.586349 -0.421593 0.632829
405 0.262767 0.587858 -0.335382 0.596592
406 0.253469 0.610073 -0.240641 0.580542
407 0.25687 0.654306 -0.142227 0.589189
408 0.273586 0.718695 -0.0451688 0.622419
409 0.301988 0.797518 0.0455618 0.675417
410 0.338549 0.882182 0.125268 0.739448
